Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 11 🏆@@24268,:cz: CZE,40.4,1.4,21.34143,:kr: KOR,30.0,1.1,29.6,0-0,9,FIFA 2026 World Cup: Group Stage
June 11 🏆@@24268,:mx: MEX 🏡,71.6,2.0,21.34143,:za: RSA,6.4,0.4,22.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 12 🏆@@24269,:us: USA 🏡,41.2,1.3,37.3172,:py: PAR,27.7,1.0,31.0,0-0,9,FIFA 2026 World Cup: Group Stage
June 12 🏆@@24269,:ca: CAN 🏡,63.2,1.9,46.89425,:ba: BIH,12.6,0.7,24.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:ch: SUI,87.1,3.3,37.3172,:qa: QAT,2.3,0.4,10.6,2-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:br: BRA,56.6,1.6,37.3172,:ma: MAR,15.3,0.7,28.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:gb-sct: SCO,66.6,2.2,37.3172,:ht: HAI,11.7,0.8,21.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:ec: ECU,53.2,1.6,37.3172,:ci: CIV,18.2,0.8,28.6,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:nl: NED,53.9,1.8,37.3172,:jp: JPN,20.6,1.1,25.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:se: SWE,53.5,1.7,21.34143,:tn: TUN,19.5,0.9,27.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:tr: TUR,65.4,2.1,46.89425,:au: AUS,12.3,0.8,22.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:de: GER,91.1,3.9,37.3172,:cw: CUW,1.4,0.3,7.5,2-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:es: ESP,90.0,3.4,37.3172,:cv: CPV,1.2,0.2,8.8,2-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:ir: IRN,55.2,1.7,37.3172,:nz: NZL,17.6,0.8,27.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:uy: URU,73.3,2.2,37.3172,:sa: KSA,6.4,0.5,20.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:be: BEL,61.6,2.0,37.3172,:eg: EGY,14.6,0.8,23.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:ar: ARG,76.8,2.5,37.3172,:dz: ALG,5.9,0.5,17.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:no: NOR,82.4,2.8,37.3172,:iq: IRQ,3.7,0.4,13.8,2-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:fr: FRA,58.1,1.7,37.3172,:sn: SEN,14.7,0.7,27.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:pt: POR,73.7,2.3,37.3172,:cd: COD,7.3,0.6,19.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:co: COL,73.5,2.2,21.34143,:uz: UZB,6.7,0.5,19.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:pa: PAN,44.4,1.4,46.89425,:gh: GHA,26.1,1.0,29.5,0-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:gb-eng: ENG,62.4,1.9,37.3172,:hr: CRO,13.2,0.7,24.4,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:at: AUT,67.6,2.2,37.3172,:jo: JOR,11.1,0.8,21.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:ca: CAN 🏡,83.7,2.8,46.89425,:qa: QAT,3.0,0.4,13.3,2-0,9,FIFA 2026 World Cup: Group Stage
